id;nombre;apellido;profesion;fecha;sueldo;comision;Departamento
104;CRISTIAN;MOLINA MU¥OZ;1;04/11/1996;2289;0;3
105;PAU;LEON GONZALEZ;2;12/10/1998;1799;730;4
106;JOAN;SOTO JIMENEZ;2;02/08/2001;1650;656;1
107;FERNANDO;DELGADO DELGADO;1;12/03/2003;673;0;1
108;ROBERTO;AGUILAR VIDAL;2;03/03/2004;2774;635;2
109;GAEL;NAVARRO FLORES;1;06/10/2003;640;0;3
110;PAU;ORTEGA DIAZ;1;11/10/2010;2334;0;4
111;ALEJANDRO;MARIN GONZALEZ;3;11/04/2007;871;0;4
112;JESUS;GIMENEZ ROMAN;2;03/10/2009;2282;578;4
113;ALBERTO;CASTILLO MEDINA;2;02/06/2000;1294;916;3
114;MIGUEL ANGEL;MU¥OZ HIDALGO;6;04/02/2009;2963;0;3
115;GUILLEM;FLORES BRAVO;2;02/02/1999;2413;861;1
116;DANIEL;PE¥A GALLARDO;1;08/04/1997;1240;0;5
117;RAYAN;CABALLERO REYES;1;03/02/2012;2536;0;3
118;MARCOS;MOLINA GARCIA;3;10/10/2008;2127;0;2
119;ORIOL;REYES ORTIZ;5;06/09/2007;2231;0;4
120;ERIK;RODRIGUEZ SANZ;2;09/11/1999;2376;530;6
121;DARIO;GOMEZ FERNANDEZ;1;12/12/1993;1509;0;2
122;ASIER;VIDAL DIAZ;3;01/10/2006;1622;0;5
123;OLIVER;DURAN HERNANDEZ;5;06/07/2009;757;0;5
124;LEO;ORTEGA PEREZ;1;07/03/2009;2183;0;4
125;MARTIN;SAEZ MORA;1;03/09/2011;1769;0;3
126;CESAR;SERRANO GIL;5;08/10/2012;2141;0;5
127;DIEGO;RAMOS HERRERA;1;11/05/2008;619;0;1
128;LUCAS;RUIZ DOMINGUEZ;5;05/07/2009;1189;0;1
129;DIEGO;GIMENEZ FERRER;1;06/06/2011;1998;0;5
130;UNAI;PEREZ CANO;2;11/01/2011;2155;969;3
131;JORDI;ROMAN VIDAL;1;05/03/2003;1758;0;3
132;YAGO;FUENTES CORTES;1;07/12/2009;756;0;4
133;MARCOS;MEDINA FUENTES;3;04/03/2004;1585;0;4
134;CESAR;SUAREZ SUAREZ;4;01/12/2008;1877;0;1
135;JOEL;ESTEBAN GALLARDO;3;07/11/2008;2101;0;4
136;ENRIQUE;NAVARRO FLORES;6;07/02/1993;2551;0;2
137;CESAR;JIMENEZ LOPEZ;3;05/11/1993;907;0;1
138;JOEL;MARTINEZ MORA;1;06/09/1991;2344;0;4
139;ADRIAN;SANTOS SAEZ;2;09/03/1997;2279;830;6
140;IGNACIO;GONZALEZ MARTIN;2;05/12/1999;615;556;2
141;ENRIQUE;RAMOS FUENTES;2;09/02/1998;1277;756;1
142;DAVID;ROMAN DIAZ;3;03/10/2002;904;0;1
143;LUCAS;ROMERO GALLARDO;5;07/07/1990;2262;0;1
144;IKER;ORTIZ HIDALGO;6;05/07/2002;2002;0;3
145;ADRIAN;RAMIREZ VAZQUEZ;1;10/10/1992;1077;0;1
146;ALEX;GALLARDO LEON;3;10/05/2005;1849;0;2
147;ALVARO;SANZ SUAREZ;4;02/09/2004;2798;0;6
148;ALVARO;FERNANDEZ CARMONA;1;05/02/1998;2058;0;4
149;DARIO;RODRIGUEZ SOTO;1;04/07/2008;2556;0;2
150;SAUL;PE¥A PEREZ;1;05/01/1994;1241;0;4
151;IGNACIO;MARIN GIL;4;01/02/2005;2472;0;2
152;IGNACIO;GONZALEZ RUIZ;1;02/04/1997;1172;0;1
153;ISMAEL;VIDAL GIL;1;04/11/1996;1304;0;4
154;IAN;SOLER ROJAS;5;04/09/2003;2457;0;1
155;NICOLAS;MENDEZ FUENTES;6;04/04/1995;1428;0;4
156;EDUARDO;RUIZ ORTIZ;6;10/07/2007;1107;0;4
157;FRANCISCO JAVIER;GARRIDO ORTEGA;1;10/08/1994;1578;0;4
158;JAVIER;HERRERA VARGAS;1;11/03/1998;1186;0;2
159;SAUL;JIMENEZ ROMAN;5;07/03/2009;1094;0;3
160;MIKEL;MORENO RUIZ;6;03/07/2008;1611;0;4
161;BIEL;SANZ GARCIA;1;06/07/2013;1995;0;4
162;JAVIER;CALVO RUBIO;1;12/05/1990;2335;0;4
163;OSCAR;ESTEBAN RUIZ;4;12/12/2000;2441;0;6
164;FERNANDO;ROMERO VICENTE;2;01/02/2010;2857;989;3
165;LEO;MU¥OZ PEREZ;3;07/08/2006;2513;0;1
166;LEO;SANZ GIMENEZ;5;10/02/2009;2645;0;1
167;GUILLERMO;SUAREZ MORENO;1;09/08/2005;2571;0;1
168;JOSE MANUEL;ROMAN CRUZ;1;02/07/1998;1113;0;3
169;IKER;MARQUEZ PASTOR;1;04/05/2003;1005;0;3
170;AARON;MARTIN GALLARDO;6;11/08/2011;2319;0;1
171;EDUARDO;LEON NIETO;1;01/09/2013;1650;0;5
172;IGNACIO;PARRA CASTRO;6;05/06/2000;1035;0;4
173;JON;RUBIO RUIZ;1;06/08/2008;2158;0;6
174;DANIEL;DELGADO PEREZ;5;03/10/1992;2601;0;2
175;MARTI;SAEZ MARTIN;1;04/07/2002;1849;0;1
176;JOSE ANTONIO;CARMONA CALVO;1;10/04/2010;2050;0;2
177;IVAN;BLANCO VEGA;2;11/01/2007;600;709;5
178;VICTOR;GONZALEZ MORENO;3;09/10/2000;2909;0;4
179;JORGE;CORTES GONZALEZ;5;01/09/1998;2550;0;1
180;ISAAC;SANTIAGO SANZ;5;04/07/1996;2206;0;4
181;ISMAEL;FLORES SOTO;1;12/01/2000;660;0;4
182;HECTOR;CARRASCO CORTES;2;03/01/2009;2994;781;1
183;ENRIQUE;GALLEGO NIETO;1;07/09/2006;1686;0;2
184;JOEL;CORTES GUERRERO;1;02/04/2009;2733;0;1
185;GERARD;SANTANA CABALLERO;2;04/01/2007;2612;516;2
186;GABRIEL;CRESPO LORENZO;4;03/02/2007;740;0;2
187;OSCAR;ESTEBAN GIMENEZ;1;05/05/2006;2046;0;2
188;RUBEN;PASCUAL HERNANDEZ;1;07/07/2000;1726;0;2
189;YERAY;PASTOR RODRIGUEZ;1;10/08/1991;2045;0;4
190;RODRIGO;IBA¥EZ HERRERA;2;05/03/2000;2403;645;1
191;ISAAC;GOMEZ PASTOR;1;03/04/1992;2376;0;2
192;VICTOR;MEDINA REYES;6;03/10/1997;767;0;2
193;CARLOS;LORENZO PARRA;5;10/03/2013;2471;0;4
194;DAVID;SAEZ FERNANDEZ;2;05/04/1996;648;738;4
195;PEDRO;IBA¥EZ CRUZ;5;02/12/2011;1347;0;4
196;MARCOS;CAMPOS BRAVO;4;05/04/2010;1555;0;3
197;GAEL;FLORES DIEZ;2;08/04/2005;1495;897;2
198;OSCAR;SANZ MARTIN;1;10/03/2007;2569;0;6
199;MIGUEL ANGEL;ARIAS RODRIGUEZ;2;01/09/1995;688;924;4
200;ASIER;SANCHEZ FUENTES;2;03/01/2011;2032;827;5
201;BRUNO;ROMAN VELASCO;3;07/02/2004;2484;0;1
202;MIGUEL;GONZALEZ PARRA;1;02/11/1991;1052;0;6
203;IGNACIO;GONZALEZ SERRANO;5;09/03/2003;1763;0;2
204;JON;CABALLERO CABALLERO;3;11/09/1993;1754;0;1
205;EDUARDO;FERNANDEZ GARRIDO;1;01/09/1991;1831;0;4
206;JAIME;GARCIA RUIZ;1;02/05/1990;713;0;4
207;ENRIQUE;BRAVO RUBIO;2;12/12/2013;1479;911;4
208;LUIS;MARQUEZ CASTRO;2;06/12/2000;1575;570;2
209;RUBEN;GUTIERREZ RUIZ;2;08/05/2013;609;526;2
210;VICTOR;GARRIDO PEREZ;1;05/12/1998;1540;0;4
211;ISAAC;BLANCO TORRES;2;03/01/1995;1602;852;4
212;MARTI;MARQUEZ VEGA;6;09/11/2013;1479;0;6
213;VICTOR;IGLESIAS TORRES;2;02/06/1991;2776;933;4
214;ANTONIO;RAMIREZ LOZANO;3;12/08/2013;2548;0;1
215;AARON;BLANCO NAVARRO;1;12/11/2006;2649;0;4
216;AARON;CORTES RUIZ;2;09/05/1998;1795;887;5
217;DIEGO;DELGADO RAMIREZ;2;05/01/1998;1420;613;5
218;UNAI;CABALLERO GOMEZ;1;10/02/2013;1606;0;4
219;RODRIGO;PE¥A LOZANO;1;05/11/2000;2693;0;6
220;ARNAU;SOTO CORTES;5;06/04/2007;1314;0;4
221;IZAN;FUENTES FERRER;1;12/07/2009;2744;0;2
222;ALONSO;HERRERO VIDAL;1;02/11/1991;2665;0;4
223;ARNAU;CRUZ GONZALEZ;2;09/09/1996;1120;691;2
224;MARCO;ALONSO ROJAS;1;04/11/1993;2867;0;2
225;CRISTIAN;PEREZ ALONSO;1;08/01/2013;2440;0;4
226;OLIVER;CASTILLO MORENO;1;08/05/2004;1549;0;1
227;VICTOR;ALONSO ESTEBAN;4;10/05/1994;1745;0;6
228;RODRIGO;MEDINA HERNANDEZ;1;08/10/1991;2765;0;5
229;BIEL;CARMONA SUAREZ;1;02/11/2002;2933;0;5
230;ORIOL;MARIN SANZ;3;10/05/1995;2335;0;1
231;BIEL;HIDALGO NAVARRO;1;12/10/1992;1970;0;2
232;HUGO;BENITEZ PE¥A;1;05/01/1999;1432;0;5
233;MIGUEL;HERRERA GALLEGO;1;10/07/1995;1569;0;4
234;ADAM;AGUILAR SANCHEZ;6;07/03/1990;2755;0;4
235;BIEL;DOMINGUEZ BLANCO;5;06/01/1996;1244;0;5
236;ASIER;ORTIZ DURAN;1;05/09/2003;2805;0;4
237;JOAN;NIETO GONZALEZ;4;01/04/2013;1404;0;1
238;SANTIAGO;SAEZ IGLESIAS;1;11/02/1993;937;0;1
239;PEDRO;RUBIO GUTIERREZ;1;04/12/1999;949;0;4
240;IVAN;RAMIREZ GIMENEZ;2;05/09/2013;2781;644;5
241;FERNANDO;CALVO SUAREZ;1;04/07/2013;1160;0;2
242;GERARD;GUERRERO SUAREZ;1;03/06/1990;1900;0;4
243;ISAAC;GARCIA MU¥OZ;2;07/02/2008;889;798;2
244;YAGO;IBA¥EZ HIDALGO;1;10/04/2008;2637;0;6
245;GUILLEM;GARCIA PRIETO;1;08/06/2002;2286;0;2
246;SAMUEL;VICENTE RAMOS;2;03/01/2005;1016;675;4
247;YERAY;JIMENEZ LEON;1;08/12/2007;1517;0;6
248;RAFAEL;VEGA MORENO;1;01/12/2012;988;0;4
249;LUCAS;FERNANDEZ GARRIDO;2;03/08/2003;2258;890;4
250;DAVID;GUERRERO MARTINEZ;1;03/08/2000;1036;0;3
251;GONZALO;DOMINGUEZ REYES;4;09/02/2010;1619;0;3
252;NICOLAS;NAVARRO DELGADO;1;09/10/2007;1176;0;6
253;JAIME;CANO MARQUEZ;2;06/02/2013;1324;511;4
254;SAUL;FERNANDEZ VICENTE;1;05/08/1992;1666;0;2
255;GAEL;RAMOS SANTANA;1;10/11/2004;1314;0;1
256;AITOR;ROMAN VAZQUEZ;3;10/03/1997;2646;0;5
257;AITOR;GALLARDO VICENTE;4;08/03/2004;2134;0;1
258;HECTOR;ARIAS FUENTES;1;07/05/1993;2826;0;1
259;ORIOL;BLANCO SANZ;1;02/01/1996;1500;0;1
260;IZAN;IGLESIAS FLORES;3;04/11/2006;2118;0;1
261;ANDER;GOMEZ ARIAS;2;09/01/2012;2756;570;1
262;CRISTIAN;MARIN CORTES;2;12/01/2001;1403;568;5
263;OLIVER;DIEZ PE¥A;6;02/03/2008;1369;0;2
264;MARCOS;CABRERA CAMPOS;4;02/06/1998;1745;0;4
265;OSCAR;GUTIERREZ GALLARDO;1;04/07/2013;1973;0;1
266;RAFAEL;MEDINA GUERRERO;5;05/05/2003;1818;0;4
267;JOSE ANTONIO;IBA¥EZ MARTIN;1;03/07/2013;2382;0;2
268;BRUNO;MOLINA LEON;1;02/04/1990;2988;0;2
269;ENRIQUE;TORRES CARMONA;1;02/02/2010;724;0;1
270;IVAN;MOYA RAMIREZ;2;12/09/1998;671;630;5
271;NIL;SANZ LOPEZ;6;11/08/1993;2892;0;1
272;MIGUEL;CORTES LORENZO;4;08/05/2013;982;0;3
273;LUIS;CAMPOS AGUILAR;1;02/08/1999;1934;0;5
274;JON;SOLER JIMENEZ;3;02/09/1990;1848;0;6
275;VICTOR;HIDALGO MU¥OZ;1;04/09/2004;1264;0;6
276;ALEIX;BRAVO DIAZ;6;11/08/2012;915;0;2
277;PAU;CALVO DIAZ;3;11/08/2011;671;0;1
278;FERNANDO;DELGADO RUBIO;1;12/03/1999;2426;0;6
279;LUCAS;PRIETO PARRA;2;01/05/2007;1595;507;2
280;HUGO;PARRA RAMOS;1;11/03/1990;2622;0;4
281;JESUS;MOLINA SANTANA;2;08/09/1992;2463;545;2
282;CARLOS;PEREZ FLORES;1;05/07/2010;1871;0;6
283;BRUNO;FERRER FERNANDEZ;6;04/01/1994;645;0;5
284;POL;DURAN SAEZ;2;04/10/1991;901;993;3
285;YAGO;GOMEZ ALVAREZ;6;10/11/1999;697;0;4
286;JUAN;PARRA LOZANO;2;08/06/1998;1966;656;1
287;JON;CABRERA SANTANA;3;05/11/2004;2778;0;4
288;ALEJANDRO;PE¥A SANCHEZ;5;08/11/1997;1143;0;5
289;IAN;SANCHEZ ALONSO;1;09/06/1992;1025;0;2
290;DANIEL;MOLINA VARGAS;2;10/09/2004;2895;545;2
291;JOEL;SANCHEZ CABALLERO;2;04/12/2013;2453;732;5
292;ADRIA;HERNANDEZ MARIN;3;12/06/1991;2045;0;4
293;NICOLAS;CABALLERO CALVO;2;07/03/2012;1770;873;5
294;GONZALO;SOTO CASTILLO;1;12/06/2002;2002;0;3
295;BIEL;VICENTE ORTEGA;1;10/04/2012;1401;0;4
296;POL;NAVARRO CRUZ;4;07/11/2013;2536;0;1
297;ALBERTO;MORA ORTEGA;1;04/08/2005;2453;0;2
298;MARIO;PRIETO REYES;3;03/08/1990;2967;0;2
299;ALEIX;CAMPOS SOLER;4;06/05/2012;2451;0;2
300;FERNANDO;GALLEGO RAMIREZ;1;10/07/2002;2745;0;1
301;PABLO;CRUZ MEDINA;1;02/08/2013;2665;0;4
302;MATEO;CASTILLO RAMIREZ;6;07/05/2008;1564;0;4
303;NIL;GARRIDO LORENZO;1;09/03/1991;1761;0;5
304;FRANCISCO;MENDEZ BENITEZ;4;04/03/1993;2409;0;3
305;ERIC;GOMEZ BLANCO;3;08/04/2009;2601;0;1
306;ADAM;FERNANDEZ SAEZ;1;03/07/2008;1853;0;2
307;IAN;RODRIGUEZ GALLARDO;1;11/04/1995;2767;0;6
308;ERIC;LOPEZ CASTILLO;4;12/08/1990;898;0;5
309;RODRIGO;CORTES PASCUAL;1;10/09/1998;1525;0;5
310;UNAI;MORA DIEZ;6;05/09/2009;1146;0;5
311;JORGE;RUBIO SOTO;1;06/05/1997;1909;0;4
312;MOHAMED;SERRANO RUIZ;2;04/03/2012;2868;650;4
313;PEDRO;ROMERO GUTIERREZ;2;01/08/2012;1231;652;2
314;SAUL;MONTERO CRESPO;6;01/04/1995;2670;0;5
315;MARC;DIAZ GIMENEZ;1;10/04/2005;1413;0;6
316;OLIVER;VARGAS MU¥OZ;2;07/05/2013;1066;905;4
317;HUGO;CRUZ MARQUEZ;1;08/05/2006;2703;0;6
318;ANGEL;BRAVO PRIETO;1;08/02/1998;679;0;5
319;CARLOS;PARRA GUERRERO;1;04/01/1996;2415;0;4
320;IAN;PASTOR HERRERO;1;11/11/2009;2212;0;4
321;OLIVER;REYES VICENTE;1;10/09/1997;725;0;1
322;CRISTIAN;CALVO CRESPO;6;07/10/2007;2289;0;4
323;RODRIGO;MOYA MORALES;1;06/04/1991;1642;0;2
324;MARCO;SOLER LOZANO;3;08/02/1992;1025;0;6
325;GUILLEM;VARGAS RUBIO;1;10/08/2004;2927;0;2
326;VICTOR;DOMINGUEZ DIEZ;4;05/03/1999;1981;0;4
327;ADRIAN;MARQUEZ BLANCO;1;08/09/1999;2535;0;4
328;BIEL;VELASCO ALVAREZ;1;12/01/2005;924;0;4
329;IKER;HERRERO HIDALGO;6;06/05/2004;1015;0;1
330;ALONSO;LOZANO FUENTES;2;04/12/1994;1543;707;4
331;JOEL;HERNANDEZ VICENTE;2;05/03/2000;1580;591;1
332;MANUEL;SOTO ORTIZ;1;04/05/2009;2406;0;5
333;DARIO;HERRERO VICENTE;3;05/10/1997;2747;0;5
334;ALVARO;AGUILAR CRUZ;4;06/10/2005;2015;0;1
335;PABLO;MORA GUERRERO;6;02/01/2012;1437;0;2
336;ERIC;RUIZ PASCUAL;2;01/02/2003;2237;749;2
337;MARCOS;SOLER CABALLERO;1;04/04/1997;2591;0;1
338;NICOLAS;CAMPOS SUAREZ;4;10/11/2007;2036;0;4
339;ADRIA;VIDAL VARGAS;1;07/02/2010;2945;0;2
340;JAIME;MEDINA BRAVO;2;05/01/2001;2412;590;4
341;HUGO;PARRA HERRERA;5;07/12/1994;2706;0;4
342;ISAAC;GIL MORALES;1;03/11/2011;1173;0;1
343;MARCO;FLORES SOLER;1;06/03/2009;1002;0;1
344;AITOR;SANTANA ALVAREZ;5;01/08/1997;694;0;4
345;ROBERTO;CARRASCO GONZALEZ;2;05/06/2006;2044;563;1
346;JUAN;VAZQUEZ HERRERA;3;04/10/2009;2387;0;4
347;OSCAR;GOMEZ CABALLERO;3;12/04/2000;1317;0;6
348;JUAN;VELASCO GARRIDO;4;02/03/2004;1628;0;4
349;IVAN;VELASCO ALVAREZ;5;10/01/2009;2114;0;6
350;GUILLERMO;AGUILAR GARCIA;2;05/08/1991;1631;843;2
351;ASIER;CASTILLO CASTILLO;2;11/10/1995;2962;756;4
352;RUBEN;PARRA ORTEGA;6;06/06/1998;2480;0;1
353;ALEIX;ALVAREZ GARCIA;2;10/07/2009;1683;598;1
354;NIL;MOYA CABRERA;2;08/01/2007;2621;734;4
355;JOAN;CASTRO ROJAS;4;10/09/2002;1979;0;5
356;MARCO;CAMPOS ROMAN;1;07/09/2000;1213;0;4
357;OLIVER;ALONSO CASTILLO;2;07/05/2007;2858;535;1
358;PABLO;CARMONA CARRASCO;2;08/04/2003;1730;668;5
359;ANDER;RUBIO VICENTE;6;05/11/1997;1449;0;1
360;IGNACIO;VELASCO HERRERA;1;01/07/2000;2877;0;5
361;YERAY;FERRER TORRES;1;09/05/1997;2707;0;5
362;FRANCISCO JAVIER;CABALLERO MENDEZ;1;03/08/1995;2681;0;6
363;AARON;DELGADO HIDALGO;1;07/12/1993;2440;0;4
364;AITOR;SERRANO SAEZ;1;11/09/2002;1931;0;1
365;YERAY;LOZANO VELASCO;2;02/09/2008;1897;855;6
366;FRANCISCO;LOPEZ PASCUAL;6;09/08/2002;2003;0;6
367;GABRIEL;FUENTES MORA;4;04/02/2008;2142;0;3
368;UNAI;VEGA IBA¥EZ;5;01/09/2008;2119;0;5
369;RODRIGO;GOMEZ IBA¥EZ;1;12/02/1999;1220;0;6
370;JUAN;AGUILAR MARQUEZ;1;03/03/2011;1837;0;2
371;JORGE;GARCIA CARRASCO;1;09/12/2011;856;0;6
372;GABRIEL;MARQUEZ CORTES;5;09/09/2010;1926;0;4
373;ALEIX;MARIN GOMEZ;2;07/09/2000;896;796;4
374;ADRIAN;VIDAL MONTERO;1;01/09/1991;1640;0;4
375;ASIER;SANZ ROMAN;1;12/01/2004;1492;0;3
376;ARNAU;MENDEZ VAZQUEZ;6;11/12/2010;2043;0;4
377;IGNACIO;ESTEBAN BRAVO;3;09/11/1997;2266;0;2
378;JESUS;MEDINA CORTES;2;12/10/2005;1813;654;5
379;VICTOR;GARCIA PASTOR;2;07/04/2009;2627;952;2
380;EDUARDO;DELGADO ALONSO;1;08/07/1992;2163;0;1
381;FRANCISCO JAVIER;SOTO HERRERO;1;01/10/1992;1766;0;2
382;ADRIA;SANTANA LOZANO;4;09/02/2012;874;0;4
383;ALBERTO;DOMINGUEZ IGLESIAS;4;02/03/1994;1554;0;6
384;JOAN;GALLARDO PEREZ;4;12/04/1999;2703;0;2
385;ALVARO;HERNANDEZ MORENO;3;09/11/2005;789;0;1
386;ALBERTO;ROMAN GALLARDO;3;06/08/2012;1015;0;6
387;RAFAEL;GARCIA SERRANO;6;12/12/2012;2096;0;1
388;MIGUEL ANGEL;CRUZ DELGADO;5;12/06/2001;654;0;1
389;GONZALO;BENITEZ FLORES;3;11/02/2009;2721;0;2
390;RAUL;GUERRERO PEREZ;1;01/10/2011;857;0;2
391;CRISTIAN;GONZALEZ GARCIA;1;05/06/2012;1457;0;4
